TRUSS REPORT 
 
UID 	 Joint 1 	 	 Joint 2 	 	 Length 	 Force 	 	 Max T/C Force 	 FOS 	 
0: 	 (0.000, 0.000) 	 (0.340, 0.000) 	 3.400 	 	 1.720 (T) 	 26.600  	 15.465	 VALID
1: 	 (0.000, 0.000) 	 (0.340, 0.346) 	 5.250 	 	 -2.660 (C) 	 4.400  	 1.654	 INVALID
2: 	 (0.000, 0.000) 	 (0.000, 0.000) 	 4.000 	 	 3.180 (T) 	 53.100  	 16.698	 VALID
3: 	 (0.000, 0.000) 	 (0.000, 0.346) 	 4.000 	 	 -4.330 (C) 	 0.900  	 0.208	 INVALID
4: 	 (0.000, 0.346) 	 (0.340, 0.346) 	 3.400 	 	 -3.720 (C) 	 1.300  	 0.349	 INVALID
5: 	 (0.000, 0.346) 	 (0.340, 0.000) 	 5.250 	 	 0.060 (T) 	 53.100  	 885.000	 VALID
6: 	 (0.000, 0.346) 	 (0.000, 0.000) 	 4.000 	 	 -0.050 (C) 	 7.500  	 150.008	 VALID
7: 	 (0.000, 0.346) 	 (0.340, 0.000) 	 5.250 	 	 5.680 (T) 	 26.600  	 4.683	 VALID
8: 	 (0.000, 0.000) 	 (0.340, 0.000) 	 3.400 	 	 5.370 (T) 	 26.600  	 4.953	 VALID
9: 	 (0.000, 0.000) 	 (0.340, 0.346) 	 5.250 	 	 -8.290 (C) 	 0.550  	 0.066	 INVALID
10: 	 (0.340, 0.000) 	 (0.680, 0.000) 	 3.400 	 	 8.790 (T) 	 26.600  	 3.026	 VALID
11: 	 (0.340, 0.000) 	 (0.680, 0.346) 	 5.250 	 	 -5.220 (C) 	 4.400  	 0.843	 INVALID
12: 	 (0.340, 0.000) 	 (0.340, 0.000) 	 4.000 	 	 0.000   	 N/A 	 	 Inf  	 ZERO-FORCE 
13: 	 (0.340, 0.000) 	 (0.340, 0.346) 	 4.000 	 	 -0.350 (C) 	 0.900  	 2.572	 VALID
14: 	 (0.340, 0.346) 	 (0.680, 0.346) 	 3.400 	 	 -14.170 (C) 	 1.300  	 0.092	 INVALID
15: 	 (0.340, 0.346) 	 (0.680, 0.000) 	 5.250 	 	 2.060 (T) 	 53.100  	 25.777	 VALID
16: 	 (0.340, 0.346) 	 (0.340, 0.000) 	 4.000 	 	 4.740 (T) 	 53.100  	 11.203	 VALID
17: 	 (0.340, 0.346) 	 (0.680, 0.000) 	 5.250 	 	 3.120 (T) 	 26.600  	 8.526	 VALID
18: 	 (0.340, 0.000) 	 (0.680, 0.000) 	 3.400 	 	 9.480 (T) 	 26.600  	 2.806	 VALID
19: 	 (0.340, 0.000) 	 (0.680, 0.346) 	 5.250 	 	 -6.280 (C) 	 0.550  	 0.088	 INVALID
20: 	 (0.680, 0.000) 	 (1.020, 0.000) 	 3.400 	 	 11.700 (T) 	 26.600  	 2.274	 VALID
21: 	 (0.680, 0.000) 	 (1.020, 0.346) 	 5.250 	 	 -1.370 (C) 	 4.400  	 3.212	 VALID
22: 	 (0.680, 0.000) 	 (0.680, 0.000) 	 4.000 	 	 0.000   	 N/A 	 	 Inf  	 ZERO-FORCE 
23: 	 (0.680, 0.000) 	 (0.680, 0.346) 	 4.000 	 	 -1.330 (C) 	 0.900  	 0.677	 INVALID
24: 	 (0.680, 0.346) 	 (1.020, 0.346) 	 3.400 	 	 -34.350 (C) 	 1.300  	 0.038	 INVALID
25: 	 (0.680, 0.346) 	 (1.020, 0.000) 	 5.250 	 	 12.680 (T) 	 53.100  	 4.188	 VALID
26: 	 (0.680, 0.346) 	 (0.680, 0.000) 	 4.000 	 	 -4.870 (C) 	 7.500  	 1.540	 INVALID
27: 	 (0.680, 0.346) 	 (1.020, 0.000) 	 5.250 	 	 6.980 (T) 	 26.600  	 3.811	 VALID
28: 	 (0.680, 0.000) 	 (1.020, 0.000) 	 3.400 	 	 8.010 (T) 	 26.600  	 3.321	 VALID
29: 	 (0.680, 0.000) 	 (1.020, 0.346) 	 5.250 	 	 4.330 (T) 	 26.600  	 6.143	 VALID
30: 	 (1.020, 0.000) 	 (1.360, 0.000) 	 3.400 	 	 24.850 (T) 	 26.600  	 1.070	 INVALID
31: 	 (1.020, 0.000) 	 (1.360, 0.346) 	 5.250 	 	 -13.320 (C) 	 4.400  	 0.330	 INVALID
32: 	 (1.020, 0.000) 	 (1.020, 0.000) 	 4.000 	 	 0.000   	 N/A 	 	 Inf  	 ZERO-FORCE 
33: 	 (1.020, 0.000) 	 (1.020, 0.346) 	 4.000 	 	 4.840 (T) 	 26.600  	 5.496	 VALID
34: 	 (1.020, 0.346) 	 (1.360, 0.346) 	 3.400 	 	 -33.620 (C) 	 1.300  	 0.039	 INVALID
35: 	 (1.020, 0.346) 	 (1.360, 0.000) 	 5.250 	 	 6.810 (T) 	 53.100  	 7.797	 VALID
36: 	 (1.020, 0.346) 	 (1.020, 0.000) 	 4.000 	 	 -8.480 (C) 	 7.500  	 0.884	 INVALID
37: 	 (1.020, 0.346) 	 (1.360, 0.000) 	 5.250 	 	 -4.980 (C) 	 0.550  	 0.110	 INVALID
38: 	 (1.020, 0.000) 	 (1.360, 0.000) 	 3.400 	 	 17.220 (T) 	 26.600  	 1.545	 INVALID
39: 	 (1.020, 0.000) 	 (1.360, 0.346) 	 5.250 	 	 -1.540 (C) 	 0.550  	 0.357	 INVALID
40: 	 (1.360, 0.000) 	 (1.700, 0.000) 	 3.400 	 	 22.850 (T) 	 26.600  	 1.164	 INVALID
